L_rlu,Qz_A_inv,F2,R_HT_p_0p01,I_HT_p_0p01,R_HT_p_0p001,I_HT_p_0p001,R_HT_p_0p0001,I_HT_p_0p0001,R_HT_p_0p0,I_HT_p_0p0
0.112,0.0245745479258316,580268.6402772566,0.15230234611045376,5821394052545601.0,0.15230234611045376,5821394052545601.0,0.15230234611045376,5821394052545601.0,0.15230234611045376,5821394052545601.0
0.113,0.02479396353231224,579840.6559457041,0.13142034691497742,5019524476142502.0,0.13142034691497742,5019524476142502.0,0.13142034691497742,5019524476142502.0,0.13142034691497742,5019524476142502.0
0.114,0.02501337913879288,579409.0518385915,0.1065360276471631,4066053411203929.5,0.1065360276471631,4066053411203929.5,0.1065360276471631,4066053411203929.5,0.1065360276471631,4066053411203929.5
0.115,0.02523279474527352,578973.8347249562,0.08003977165637707,3052502879751533.5,0.08003977165637707,3052502879751533.5,0.08003977165637707,3052502879751533.5,0.08003977165637707,3052502879751533.5
0.116,0.02545221035175416,578535.0114293849,0.054400855292348636,2073130677538045.5,0.054400855292348636,2073130677538045.5,0.054400855292348636,2073130677538045.5,0.054400855292348636,2073130677538045.5
0.117,0.025671625958234797,578092.588831866,0.03192899149999903,1215832944718676.0,0.03192899149999903,1215832944718676.0,0.03192899149999903,1215832944718676.0,0.03192899149999903,1215832944718676.0
0.11800000000000001,0.025891041564715438,577646.5738676458,0.014558820294436146,553961638609543.44,0.014558820294436146,553961638609543.44,0.014558820294436146,553961638609543.44,0.014558820294436146,553961638609543.44
0.11900000000000001,0.026110457171196078,577196.9735270822,0.003677061366805674,139802915100801.42,0.003677061366805674,139802915100801.42,0.003677061366805674,139802915100801.42,0.003677061366805674,139802915100801.42
0.12,0.026329872777676715,576743.7948554971,7.379130989448868e-06,280336375781.3806,7.379130989448868e-06,280336375781.3806,7.379130989448868e-06,280336375781.3806,7.379130989448868e-06,280336375781.3806
0.121,0.026549288384157353,576287.0449530283,0.003562071512312883,135217466596604.6,0.003562071512312883,135217466596604.6,0.003562071512312883,135217466596604.6,0.003562071512312883,135217466596604.6
0.122,0.026768703990637993,575826.7309744791,0.013663079243411005,518240933552134.2,0.013663079243411005,518240933552134.2,0.013663079243411005,518240933552134.2,0.013663079243411005,518240933552134.2
0.123,0.026988119597118634,575362.8601291676,0.029028166120894525,1100152090689749.5,0.029028166120894525,1100152090689749.5,0.029028166120894525,1100152090689749.5,0.029028166120894525,1100152090689749.5
0.124,0.02720753520359927,574895.4396807749,0.04791206988340832,1814366845208507.2,0.04791206988340832,1814366845208507.2,0.04791206988340832,1814366845208507.2,0.04791206988340832,1814366845208507.2
