L_rlu,Qz_A_inv,bandwidth_sigma_fraction,I_HT_raw_p_0p01,I_HT_bandwidth_avg_p_0p01,I_HT_raw_p_0p001,I_HT_bandwidth_avg_p_0p001,I_HT_raw_p_0p0001,I_HT_bandwidth_avg_p_0p0001,I_HT_raw_p_0p0,I_HT_bandwidth_avg_p_0p0
0.091,0.019966820189738176,0.006999999999999999,9508337192716088.0,9382341756945892.0,9508337192716088.0,9382341756945892.0,9508337192716088.0,9382341756945892.0,9508337192716088.0,9382341756945892.0
0.092,0.020186235796218813,0.006999999999999999,8625626020456880.0,8520899966632420.0,8625626020456880.0,8520899966632420.0,8625626020456880.0,8520899966632420.0,8625626020456880.0,8520899966632420.0
0.093,0.020405651402699454,0.006999999999999999,7408959511424109.0,7335372584994776.0,7408959511424109.0,7335372584994776.0,7408959511424109.0,7335372584994776.0,7408959511424109.0,7335372584994776.0
0.094,0.020625067009180095,0.006999999999999999,5979035832162044.0,5943317532095151.0,5979035832162044.0,5943317532095151.0,5979035832162044.0,5943317532095151.0,5979035832162044.0,5943317532095151.0
0.095,0.02084448261566073,0.006999999999999999,4472074944291485.0,4477215952221496.0,4472074944291485.0,4477215952221496.0,4472074944291485.0,4477215952221496.0,4472074944291485.0,4477215952221496.0
0.096,0.021063898222141372,0.006999999999999999,3026252590660307.5,3071255559515748.5,3026252590660307.5,3071255559515748.5,3026252590660307.5,3071255559515748.5,3026252590660307.5,3071255559515748.5
0.097,0.021283313828622013,0.006999999999999999,1768510564570358.8,1848536965917742.8,1768510564570358.8,1848536965917742.8,1768510564570358.8,1848536965917742.8,1768510564570358.8,1848536965917742.8
0.098,0.02150272943510265,0.006999999999999999,802966986720735.4,909853286189387.4,802966986720735.4,909853286189387.4,802966986720735.4,909853286189387.4,802966986720735.4,909853286189387.4
0.099,0.02172214504158329,0.006999999999999999,201951480337608.22,325040144819557.25,201951480337608.22,325040144819557.25,201951480337608.22,325040144819557.25,201951480337608.22,325040144819557.25
0.1,0.02194156064806393,0.006999999999999999,403597122127.43805,127604537712987.53,403597122127.43805,127604537712987.53,403597122127.43805,127604537712987.53,403597122127.43805,127604537712987.53
0.101,0.02216097625454457,0.006999999999999999,194028617627577.0,313013910757127.8,194028617627577.0,313013910757127.8,194028617627577.0,313013910757127.8,194028617627577.0,313013910757127.8
0.10200000000000001,0.02238039186102521,0.006999999999999999,741237147771493.6,840656603807206.1,741237147771493.6,840656603807206.1,741237147771493.6,840656603807206.1,741237147771493.6,840656603807206.1
0.10300000000000001,0.02259980746750585,0.006999999999999999,1568538867600728.2,1638996763851966.2,1568538867600728.2,1638996763851966.2,1568538867600728.2,1638996763851966.2,1568538867600728.2,1638996763851966.2
0.10400000000000001,0.022819223073986487,0.006999999999999999,2578749082162930.5,2613727547981707.0,2578749082162930.5,2613727547981707.0,2578749082162930.5,2613727547981707.0,2578749082162930.5,2613727547981707.0
0.105,0.023038638680467124,0.006999999999999999,3661126774140239.0,3657561023251818.0,3661126774140239.0,3657561023251818.0,3661126774140239.0,3657561023251818.0,3661126774140239.0,3657561023251818.0
0.106,0.023258054286947764,0.006999999999999999,4702414390162511.0,4660925976431629.0,4702414390162511.0,4660925976431629.0,4702414390162511.0,4660925976431629.0,4702414390162511.0,4660925976431629.0
0.107,0.023477469893428405,0.006999999999999999,5597703110280550.0,5522598641227034.0,5597703110280550.0,5522598641227034.0,5597703110280550.0,5522598641227034.0,5597703110280550.0,5522598641227034.0
0.108,0.023696885499909042,0.006999999999999999,6260103485820091.0,6158932947313725.0,6260103485820091.0,6158932947313725.0,6260103485820091.0,6158932947313725.0,6260103485820091.0,6158932947313725.0
0.109,0.023916301106389683,0.006999999999999999,6628351136846750.0,6511148979226425.0,6628351136846750.0,6511148979226425.0,6628351136846750.0,6511148979226425.0,6628351136846750.0,6511148979226425.0
0.11,0.024135716712870323,0.006999999999999999,6671703314199427.0,6549994319253719.0,6671703314199427.0,6549994319253719.0,6671703314199427.0,6549994319253719.0,6671703314199427.0,6549994319253719.0
0.111,0.02435513231935096,0.006999999999999999,6391760681406113.0,6277425814184289.0,6391760681406113.0,6277425814184289.0,6391760681406113.0,6277425814184289.0,6391760681406113.0,6277425814184289.0
